0_position_x,0_position_y,0_score,1_position_x,1_position_y,1_score,2_position_x,2_position_y,2_score,3_position_x,3_position_y,3_score,4_position_x,4_position_y,4_score,5_position_x,5_position_y,5_score,6_position_x,6_position_y,6_score,7_position_x,7_position_y,7_score,8_position_x,8_position_y,8_score,9_position_x,9_position_y,9_score,10_position_x,10_position_y,10_score,11_position_x,11_position_y,11_score,12_position_x,12_position_y,12_score,13_position_x,13_position_y,13_score,14_position_x,14_position_y,14_score,15_position_x,15_position_y,15_score,16_position_x,16_position_y,16_score,img_height,img_width,pose_score,label
298.9053756,187.4569528,0.78957504,302.6547347,183.0544158,0.667988777,302.6084607,180.0816501,0.72644341,317.1495884,178.0818199,0.644512653,302.3911344,185.279766,0.627200007,310.7910607,212.4934918,0.88732481,301.1664987,213.4611949,0.899875641,328.7890601,142.5328279,0.667148709,294.4350173,251.8894962,0.69579792,333.8269884,137.5117959,0.581408739,334.2158937,126.352633,0.563013613,314.3581761,278.4495173,0.955602884,307.1712217,276.9388801,0.943019569,260.826664,287.4883777,0.978705347,354.1514068,314.9810012,0.903283417,269.5230384,356.7725723,0.679100096,300.6320854,335.4207505,0.458287299,408,612,0.745193408,lunge
90.4926016,61.35417894,0.999112427,96.71722379,53.80899184,0.997701585,89.14920216,54.57273134,0.817578733,118.4557017,60.51767134,0.996339381,91.32430116,62.93657088,0.0637324601,137.1078543,100.5236419,0.990969479,103.1379801,104.2435001,0.995066166,158.4989092,145.6787513,0.979540408,99.52177397,153.9185485,0.770045877,128.3585134,193.1048774,0.995034754,95.557912,185.6469928,0.529536963,124.6758697,200.846123,0.971610785,101.0423672,192.0840549,0.938998222,159.6575326,291.9578356,0.789708376,25.67039269,215.3735601,0.804670095,224.8544006,291.3995718,0.497558296,45.17106435,284.3699284,0.867999017,340,301,0.823835472,lunge
91.29113912,47.3384416,0.847309351,93.72245866,43.9595401,0.674619853,91.47054258,44.13851466,0.228710055,96.38038154,48.23078414,0.771665633,97.50723397,47.48029396,0.23024103,95.02407303,68.15192957,0.975425899,99.10606533,66.25264945,0.905473292,93.15832757,98.72138425,0.909327865,93.72904855,95.81790624,0.782250822,86.95504678,121.7764945,0.96800071,83.52808757,121.0052837,0.76621598,95.45920572,115.8580489,0.955499172,95.00466907,114.6040932,0.947778225,50.9245824,128.8129484,0.861325562,103.4966523,153.2476213,0.785023868,62.57235492,168.1595673,0.642793059,65.03472212,165.4278655,0.610605121,224,224,0.756603853,lunge
89.81228911,48.34696515,0.852717638,92.0404789,44.94026439,0.731520057,90.68682363,46.60439624,0.217632353,94.48112137,48.76854899,0.814245343,97.39025831,47.84100603,0.218628198,95.59990766,69.08868574,0.978685021,99.59956948,66.57332673,0.870462477,93.31951738,100.9281951,0.942614138,93.25451613,96.19613707,0.708431125,85.21381114,120.2031782,0.960267127,82.04918436,119.3367032,0.743848681,95.77169052,116.1560505,0.95380044,94.89670382,114.9451187,0.930522382,100.0970302,153.2398943,0.778300822,102.7412014,153.3535916,0.811971843,63.35700484,165.8459615,0.419272721,63.96375414,164.5875638,0.489490598,224,224,0.730730057,lunge
87.25501676,59.15591561,0.954731166,89.5910521,56.02055436,0.96126163,89.82000281,56.29966409,0.388911277,97.43803673,58.41467523,0.915890276,95.63263106,57.37572577,0.281411856,97.3568899,75.95091633,0.992167771,94.70375483,75.33552902,0.937129498,90.87857566,107.0645994,0.872436702,87.07502812,104.794104,0.571509063,81.81916969,133.1148677,0.955281734,79.91433039,128.241855,0.682887495,93.25244141,124.3511027,0.974138439,95.10658971,123.174856,0.951560378,48.70562578,127.735211,0.866151929,97.33028427,161.4987973,0.818821132,61.98586074,169.8587366,0.731753826,64.41040419,165.6745577,0.589298189,224,224,0.790902492,lunge
86.7539053,59.59098846,0.934772372,89.21566072,56.7462011,0.930812001,89.48501528,53.39374231,0.289216697,97.01970794,59.31472481,0.900723994,96.08468735,58.53897225,0.227276862,96.32718359,76.71028393,0.990392089,96.88820924,75.65945803,0.961677492,90.29821255,109.4428274,0.960725844,91.69165989,107.3061713,0.778794289,79.58242169,131.908205,0.919486225,80.40121139,129.7779327,0.626140475,92.8788654,122.9910437,0.976710379,97.33057686,121.9155406,0.975400269,48.37612761,128.0863973,0.864297509,98.63794325,162.3219559,0.904254913,60.24731825,170.9031721,0.776775181,62.86489049,165.4603029,0.600271583,224,224,0.801042834,lunge
86.56294458,54.06155289,0.811348915,88.88488912,49.45175705,0.763107538,89.00306838,50.50844138,0.115402311,93.74817322,51.74326571,0.810228944,98.23288736,50.29077196,0.189321056,93.4309139,71.45729819,0.973820329,101.8268217,69.28624966,0.927116632,91.42451305,105.5228827,0.940010667,94.5416274,99.06036828,0.738339961,82.48947725,131.0491378,0.966403782,82.09092481,128.7827984,0.624852836,95.13130016,120.8319515,0.971199512,96.51126847,119.3814161,0.961955845,51.97115911,129.3323998,0.886702299,102.8627056,159.826094,0.873276532,64.17423186,170.6052503,0.7603122,66.04023665,167.1831454,0.649947643,224,224,0.762549824,lunge
93.19788025,47.2356299,0.794700742,93.67005867,46.93319287,0.599095643,93.89340364,44.52716231,0.301899523,96.47466162,47.97630174,0.529055595,96.13325043,48.17367613,0.333104432,94.81189297,66.44021215,0.963736594,96.77327506,65.59659229,0.929194689,91.46175827,99.3814512,0.940058172,92.82881942,96.09285323,0.838551521,80.84085261,124.6429201,0.980203748,82.38217032,122.7741025,0.642760217,94.21708661,114.2846661,0.942698121,96.79523916,113.3753667,0.957853258,53.02147298,128.0049778,0.878247559,106.1434901,150.7386726,0.809870064,62.55431416,168.1050128,0.693325818,63.14884123,166.7715395,0.623282015,224,224,0.750449277,lunge
88.11906463,51.27717513,0.891203701,89.46596376,47.37804748,0.822597027,88.64912907,47.57653239,0.182573989,93.4634777,50.6849655,0.825840831,98.68027553,50.57917138,0.197092697,93.4804944,70.79993768,0.983540177,99.10497477,68.63440179,0.927370965,91.50627831,105.0541688,0.947491884,88.71825982,100.1812359,0.665091395,84.85120721,130.3782052,0.971226752,81.20559111,128.0456609,0.60920316,95.35038265,120.7753754,0.976484001,94.19327388,119.9097782,0.94359982,52.01463846,128.9911216,0.881684661,102.6400788,158.4480408,0.723914325,63.1431291,169.0956518,0.689995408,62.19202943,168.047958,0.658966959,224,224,0.758698691,lunge
86.06247815,58.76092078,0.934478104,88.6576075,56.34680413,0.912017763,85.66986393,56.28022689,0.351493061,93.45341664,56.40808153,0.919655502,95.1782939,57.8696821,0.264615625,95.21334471,77.10487977,0.989168882,97.97874742,75.52016583,0.946442127,90.1264164,108.6354885,0.942387402,93.08144322,106.2832943,0.708941877,80.56932359,131.8581856,0.887949288,80.18254784,128.7663204,0.514326692,92.20124977,123.9085888,0.974817634,98.87013239,122.3532268,0.973679841,49.87750363,128.5025117,0.863786817,97.6693082,163.7820537,0.837214828,60.722775,168.7305276,0.689689696,63.16187473,164.8870949,0.497700334,224,224,0.776962675,lunge
